name,crop,crop_id,year,water_year_type,water_year_type_lag,gw_depth,omegaland,omegaland_std,omegawater,omegawater_std,omegasw,omegagw,p,p_std,y,y_std,xland,xland_std,ybar,ybar_std,xwater,xwater_std,water,water_std,eta,eta_std,yw,ybar_w_std,surface_water,groundwater,
KER01,ALFAL,1,1998,0,0,213.789,100,10,82.21,4.1105,82.21,121.76,275.081816,13.7540908,6.98,0.349,29061.48578,581.2297156,202849.1707444,4056.983414888,3.75,0.1875,108980.571675,5449.02858375,0.3,0.06,0.25,0.0125,282140.922017506,0,0.25
KER01,ALPIS,2,1998,0,0,213.789,1398.532667,139.8532667,82.21,4.1105,82.21,121.76,3828.382,191.4191,1.195,0.05975,18553.69836,371.0739672,22171.6695402,1108.58347701,3.2,0.16,59371.834752,2968.5917376,0.6,0.12,0.55,0.0275,282140.922017506,0,0.25
KER01,CORN,3,1998,0,0,213.789,284.8986667,28.48986667,82.21,4.1105,82.21,121.76,67.39247305,3.3696236525,24.33,1.2165,1813.715711,36.27431422,44127.70324863,2206.3851624315,2.65,0.1325,4806.34663415,240.3173317075,0.62,0.031,0.25,0.00625,282140.922017506,0,0.25
KER01,COTTN,4,1998,0,0,213.789,565.88,56.588,82.21,4.1105,82.21,121.76,4974.248791,248.71243955,0.415,0.02075,36896.42238,737.9284476,15312.0152877,306.240305754,2.17,0.1085,80065.2365646,4003.26182823,1.55,0.31,0.7,0.035,282140.922017506,0,0.25
KER01,CUCUR,5,1998,0,0,213.789,623.632,62.3632,82.21,4.1105,82.21,121.76,342.3168903,17.115844515,23.98,1.199,102.1,2.042,2448.358,122.4179,1.91,0.0955,195.011,9.75055,0.62,0.124,0.3,0.015,282140.922017506,0,0.25
KER01,DRYBN,6,1998,0,0,213.789,459.08,45.908,82.21,4.1105,82.21,121.76,1414.858304,70.7429152,1.16,0.058,452.8667677,9.057335354,525.325450532,26.2662725266,2.57,0.1285,1163.867592989,58.19337964945,0.8,0.16,0.3,0.015,282140.922017506,0,0.25
KER01,FRTOM,7,1998,0,0,213.789,377.296,37.7296,82.21,4.1105,82.21,121.76,686.288,34.3144,12.86,0.643,589.5403999,11.790807998,7581.489542714,379.0744771357,2.03,0.1015,1196.767011797,59.83835058985,0.7,0.14,0.3,0.015,282140.922017506,0,0.25
KER01,GRAIN,8,1998,0,0,213.789,200,20,82.21,4.1105,82.21,121.76,411.6618459,20.583092295,2.225,0.11125,9272.680223,185.45360446,20631.713496175,1031.58567480875,0.45,0.0225,4172.70610035,208.6353050175,0.42,0.084,0.15,0.0075,282140.922017506,0,0.25
KER01,ONGAR,9,1998,0,0,213.789,643.018,64.3018,82.21,4.1105,82.21,121.76,227.1973931,11.359869655,18.26,0.913,1749.281954,34.98563908,31941.88848004,638.8377696008,3.04,0.608,5317.81714016,265.890857008,0.5,,0.2,0.01,282140.922017506,0,0.25
KER01,OTHDEC,10,1998,0,0,213.789,698.7795,69.87795,82.21,4.1105,82.21,121.76,2848.107009,142.40535045,2.01,0.1005,348.069601,6.96139202,699.61989801,13.9923979602,2.53,0.506,880.61609053,44.0308045265,0.75,,0.4,0.02,282140.922017506,0,0.25
KER01,OTHFLD,11,1998,0,0,213.789,159,7.95,82.21,4.1105,82.21,121.76,68.91523621,1.3783047242,15.56,0.778,683.3743015,13.66748603,10633.30413134,212.6660826268,2.12,0.106,1448.75351918,72.437675959,0.7,,0.3,0.015,282140.922017506,0,0.25
KER01,OTHTRK,12,1998,0,0,213.789,289.8,28.98,82.21,4.1105,82.21,121.76,697.284456,34.8642228,9.66,0.483,1511.901512,30.23803024,14604.96860592,730.248430296,1.62,0.081,2449.28044944,122.464022472,0.4,,0.2,0.01,282140.922017506,0,0.25
KER01,PASTR,13,1998,0,0,213.789,10,1,82.21,4.1105,82.21,121.76,886.86668448,44.343334224,1.5,0.075,302.7606249,6.055212498,454.14093735,9.082818747,3.95,0.1975,1195.904468355,59.79522341775,1.5,0.3,0.55,0.0275,282140.922017506,0,0.25
KER01,PRTOM,14,1998,0,0,213.789,561.5253333,56.15253333,82.21,4.1105,82.21,121.76,95.45612231,4.7728061155,34.33,1.7165,616.8611928,12.337223856,21176.844748824,1058.8422374412,2.78,0.139,1714.874115984,85.7437057992,0.7,0.14,0.33,0.0165,282140.922017506,0,0.25
KER01,SAFLR,15,1998,0,0,213.789,100,10,82.21,4.1105,82.21,121.76,736.3041579,36.815207895,0.83,0.0415,454.3014811,9.086029622,377.070229313,7.54140458626,0.6,0.03,272.58088866,13.629044433,1.1,0.22,0.3,0.015,282140.922017506,0,0.25
KER01,SUBTRP,17,1998,0,0,213.789,1131.6,113.16,82.21,4.1105,82.21,121.76,661.57,33.0785,14.63,0.7315,270.7338727,2.707338727,3960.836557601,198.04182788005,2.13,0.213,576.663148851,28.83315744255,0.8,0.16,0.4,0.02,282140.922017506,0,0.25
KER01,VINE,18,1998,0,0,213.789,957.453,47.87265,82.21,4.1105,82.21,121.76,1743.346,87.1673,7.74,0.387,3315.33411,66.3066822,25660.6860114,513.213720228,1.71,0.342,5669.2213281,283.461066405,0.75,0.15,0.39,0.0195,282140.922017506,0,0.25
KER01,ALFAL,1,1999,1,0,216.993,100,10,98.2290923701498,4.91145461850749,82.21,123.29,233.4956675,11.674783375,8.09,0.4045,31994.20993,639.8841986,258833.1583337,5176.663166674,5.07,0.2535,162210.6443451,8110.532217255,0.3,0.06,0.25,0.0125,287047.7275,183482.7425,0.25
KER01,ALPIS,2,1999,1,0,216.993,1398.532667,139.8532667,98.2291115862844,4.91145557931422,82.21,123.29,5350.660238,267.5330119,0.875,0.04375,23957.40501,479.1481002,20962.72938375,1048.1364691875,4.4,0.22,105412.582044,5270.6291022,0.6,0.12,0.55,0.0275,287048.7275,183483.7425,0.25
