,Year,Semi,Model
65,2016,212.92827213553,MIROC5 4.5
66,2017,59.6254282864225,MIROC5 4.5
67,2018,97.8794415865591,MIROC5 4.5
68,2019,108.987160260371,MIROC5 4.5
69,2020,307.116065895556,MIROC5 4.5
70,2021,171.706283650347,MIROC5 4.5
71,2022,152.975660472723,MIROC5 4.5
72,2023,8.45559544904383,MIROC5 4.5
73,2024,49.5477092821514,MIROC5 4.5
74,2025,68.4245608802642,MIROC5 4.5
75,2026,115.497780605151,MIROC5 4.5
76,2027,309.536965541187,MIROC5 4.5
77,2028,139.790120173454,MIROC5 4.5
78,2029,49.4488530784589,MIROC5 4.5
79,2030,77.8473687893695,MIROC5 4.5
80,2031,101.994648845324,MIROC5 4.5
81,2032,221.272606835472,MIROC5 4.5
82,2033,273.321865084495,MIROC5 4.5
83,2034,169.146516145689,MIROC5 4.5
84,2035,27.3124272462849,MIROC5 4.5
85,2036,103.005818253044,MIROC5 4.5
86,2037,153.276222803931,MIROC5 4.5
87,2038,196.212381611314,MIROC5 4.5
88,2039,88.9611509393012,MIROC5 4.5
89,2040,63.701273427523,MIROC5 4.5
90,2041,30.9427046575918,MIROC5 4.5
91,2042,26.783789042,MIROC5 4.5
92,2043,253.916883402373,MIROC5 4.5
93,2044,192.777209268648,MIROC5 4.5
94,2045,60.8549372704001,MIROC5 4.5
95,2046,31.2313108286306,MIROC5 4.5
96,2047,91.262013235571,MIROC5 4.5
97,2048,213.911585611,MIROC5 4.5
98,2049,171.611035206507,MIROC5 4.5
99,2050,42.9895871073033,MIROC5 4.5
100,2051,87.2616678277023,MIROC5 4.5
101,2052,29.8560030755537,MIROC5 4.5
102,2053,24.6197071583346,MIROC5 4.5
103,2054,168.716130189907,MIROC5 4.5
104,2055,159.613782633914,MIROC5 4.5
105,2056,40.7194842889647,MIROC5 4.5
106,2057,50.6677113612789,MIROC5 4.5
107,2058,29.096304975293,MIROC5 4.5
108,2059,112.789016743745,MIROC5 4.5
109,2060,61.8237844294351,MIROC5 4.5
110,2061,69.5415870959709,MIROC5 4.5
111,2062,64.7925898005238,MIROC5 4.5
112,2063,40.0759941356875,MIROC5 4.5
113,2064,81.9177063343602,MIROC5 4.5
114,2065,74.8755364477652,MIROC5 4.5
115,2066,199.530664982472,MIROC5 4.5
116,2067,56.5307891637372,MIROC5 4.5
117,2068,146.054127502931,MIROC5 4.5
118,2069,149.853962047094,MIROC5 4.5
119,2070,116.461757191147,MIROC5 4.5
120,2071,280.668316071982,MIROC5 4.5
121,2072,139.76639319054,MIROC5 4.5
122,2073,156.243026511692,MIROC5 4.5
123,2074,189.403336628256,MIROC5 4.5
124,2075,117.92167899489,MIROC5 4.5
125,2076,30.8268014548702,MIROC5 4.5
126,2077,28.2276798544694,MIROC5 4.5
127,2078,65.2308087067162,MIROC5 4.5
128,2079,28.1842581114173,MIROC5 4.5
129,2080,93.9486416511749,MIROC5 4.5
130,2081,29.2591063756054,MIROC5 4.5
131,2082,46.9755051539135,MIROC5 4.5
132,2083,25.2622524679862,MIROC5 4.5
133,2084,89.7451370582332,MIROC5 4.5
134,2085,139.755336265389,MIROC5 4.5
